id,algo,status,note,train_mean_return,heldout_mean_return,ent_coef,gae_lambda,gamma,generalisation_gap,heldout_frac_crop_failure,heldout_frac_harvested,heldout_frac_insolvency,heldout_frac_truncated,heldout_max_return,heldout_mean_length,heldout_min_return,heldout_n_episodes,heldout_std_return,lr,max_grad_norm,n_envs,n_steps,net_arch,seed,timesteps,train_frac_crop_failure,train_frac_harvested,train_frac_insolvency,train_frac_truncated,train_max_return,train_mean_length,train_min_return,train_n_episodes,train_std_return,use_rms_prop,vf_coef,wall_s,batch_size,buffer_size,exploration_final_eps,exploration_fraction,learning_starts,target_update_interval,train_freq,clip_range,n_epochs,baseline,episodes_per_update,normalise_advantage
ppo-10,ppo,ok,"shorter GAE, longer discount",81.09535420328982,89.12738752438769,0.01,0.8,0.995,-8.03203332109787,0.05,0.77,0.0,0.18,171.18222502300125,102.95,-80.24766585443498,100.0,45.80258485903629,0.0003,0.5,8,2048,"[256, 256]",0,400000,0.03333333333333333,0.7,0.0,0.26666666666666666,158.06139802921138,101.7,-46.3417609792713,30.0,42.30136398676247,,0.5,190.8,64,,,,,,,0.2,10,,,
rf-01,reinforce,ok,"textbook REINFORCE, expect high variance",-4.4634629975791205,0.33813027291114195,0.0,,0.99,-4.801593270490263,0.04,0.79,0.17,0.0,30.92369465045173,57.11,-66.98071676885486,100.0,32.61133936419262,0.001,,1,,"[256, 256]",0,400000,0.03333333333333333,0.7666666666666667,0.2,0.0,28.54329129893827,58.63333333333333,-65.90907288690445,30.0,32.7852789470904,,,139.7,,,,,,,,,,none,1,False
rf-02,reinforce,ok,learned baseline cuts variance,-47.49217593906969,-45.69245666871516,0.0,,0.99,-1.7997192703545295,0.03,0.0,0.97,0.0,-35.91560697900735,42.42,-52.46426194479664,100.0,3.72247582584345,0.001,,1,,"[256, 256]",0,400000,0.0,0.0,1.0,0.0,-40.34321705137036,41.53333333333333,-52.634021675269075,30.0,3.3595034775321597,,,147.5,,,,,,,,,,value,1,False
rf-03,reinforce,ok,"lower lr, smoother but slower",30.590892439959873,35.94514520360381,0.0,,0.99,-5.3542527636439345,0.12,0.04,0.03,0.81,105.16507536394525,112.79,-78.20266277362066,100.0,44.04875472237374,0.0003,,1,,"[256, 256]",0,400000,0.1,0.03333333333333333,0.03333333333333333,0.8333333333333334,98.45236868356307,113.73333333333333,-71.8887060449273,30.0,38.9052578949679,,,143.0,,,,,,,,,,value,1,False
rf-04,reinforce,ok,"too high, expect divergence",-66.68338191942853,-65.55896695995497,0.0,,0.99,-1.1244149594735546,0.03,0.0,0.97,0.0,-58.322467335327374,32.11,-71.90531147981173,100.0,3.2439985923128973,0.003,,1,,"[256, 256]",0,400000,0.0,0.0,1.0,0.0,-61.295956555166654,31.266666666666666,-72.49582303373134,30.0,2.5649916388637117,,,144.6,,,,,,,,,,value,1,False
rf-05,reinforce,ok,myopic on a terminal-reward task,-47.49217593906969,-45.69245666871516,0.0,,0.95,-1.7997192703545295,0.03,0.0,0.97,0.0,-35.91560697900735,42.42,-52.46426194479664,100.0,3.72247582584345,0.001,,1,,"[256, 256]",0,400000,0.0,0.0,1.0,0.0,-40.34321705137036,41.53333333333333,-52.634021675269075,30.0,3.3595034775321597,,,145.0,,,,,,,,,,value,1,False
rf-06,reinforce,ok,"undiscounted, maximum variance",-4.4634629975791205,0.33813027291114195,0.0,,1.0,-4.801593270490263,0.04,0.79,0.17,0.0,30.92369465045173,57.11,-66.98071676885486,100.0,32.61133936419262,0.001,,1,,"[256, 256]",0,400000,0.03333333333333333,0.7666666666666667,0.2,0.0,28.54329129893827,58.63333333333333,-65.90907288690445,30.0,32.7852789470904,,,138.5,,,,,,,,,,value,1,False
rf-07,reinforce,ok,mild entropy bonus delays collapse,-47.49217593906969,-45.69245666871516,0.01,,0.99,-1.7997192703545295,0.03,0.0,0.97,0.0,-35.91560697900735,42.42,-52.46426194479664,100.0,3.72247582584345,0.001,,1,,"[256, 256]",0,400000,0.0,0.0,1.0,0.0,-40.34321705137036,41.53333333333333,-52.634021675269075,30.0,3.3595034775321597,,,131.2,,,,,,,,,,value,1,False
rf-08,reinforce,ok,"strong entropy, expect no commitment",-4.1160037785842105,0.4610542297948523,0.05,,0.99,-4.577058008379063,0.04,0.79,0.17,0.0,31.220427431391535,58.69,-66.98071676885486,100.0,32.81498951482224,0.001,,1,,"[256, 256]",0,400000,0.03333333333333333,0.7666666666666667,0.2,0.0,29.75136000277433,60.166666666666664,-65.90907288690445,30.0,33.053587552012395,,,128.9,,,,,,,,,,value,1,False
rf-09,reinforce,ok,batching episodes cuts gradient variance,67.21690261568297,73.17095463786933,0.01,,0.99,-5.95405202218636,0.07,0.93,0.0,0.0,133.60644354835756,93.68,-75.4986898713994,100.0,44.02975355860291,0.001,,1,,"[256, 256]",0,400000,0.06666666666666667,0.9333333333333333,0.0,0.0,122.20219118149927,93.6,-71.51695038035464,30.0,43.46541232438391,,,117.4,,,,,,,,,,value,8,False
rf-10,reinforce,ok,"normalised advantages, expect best of ten",49.852659306561236,50.111141193003114,0.01,,0.99,-0.25848188644187786,0.12,0.02,0.06,0.8,116.045051089914,111.78,-76.39868807280914,100.0,52.379261434626045,0.001,,1,,"[256, 256]",0,400000,0.1,0.06666666666666667,0.03333333333333333,0.8,103.92496060324967,113.43333333333334,-78.86965580142913,30.0,48.340533403405985,,,119.9,,,,,,,,,,value,8,True
